;Description;Full_Url;Item_Id;Json_Url;Price;Url;brand_x;obem_x;sostav_x;srok-hraneniya-maks_x;brand_y;obem_y;sostav_y;srok-hraneniya-maks_y;proizvoditel;ves
0;Молоко Parmalat Natura Premium ультрапастеризованное 3.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-pit-ulster-3-5-1l--306634;306634.0;http://www.perekrestok.ru/product/306634/preview-html;84,9;;;;;;Parmalat;1000;Нормализованное молоко;210;;
1;Молоко Домик в деревне ультрапастеризованное 3.2% 925мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-ster-3-2-950g--309202;309202.0;http://www.perekrestok.ru/product/309202/preview-html;93,9;;;;;;Домик в деревне;925;Молоко нормализованное;270;;
2;Молоко Parmalat Natura Premium Low Lactose ультрапастеризованное 1.8% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-ulpast-nizkolakt-1-8-1l--306655;306655.0;http://www.perekrestok.ru/product/306655/preview-html;104,9;;;;;;Parmalat;1000;Нормализованное молоко;180;;
3;Молоко Село Зеленое ультрапастеризованное 3.2% 950мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sel-zel-moloko-ulpast-3-2-950ml--308047;308047.0;http://www.perekrestok.ru/product/308047/preview-html;79,9;;;;;;Село Зеленое;950;Молоко цельное, молоко обезжиренное;180;;
4;Молоко Простоквашино Отборное пастеризованное 3.4-4.5% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-otb-past-3-4-4-5-930ml--308820;308820.0;http://www.perekrestok.ru/product/308820/preview-html;54,9;;;;;;Простоквашино;930;Цельное молоко;12;;
5;Молоко Белый город ультрапастеризованное 3.2% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bel-gorod-moloko-ulpast-3-2-1l--305572;305572.0;http://www.perekrestok.ru/product/305572/preview-html;72,9;;;;;;Белый город;1000;Нормализованное молоко;240;;
6;Молоко Простоквашино пастеризованное 2.5% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-past-2-5-930ml--308821;308821.0;http://www.perekrestok.ru/product/308821/preview-html;77,9;;;;;;Простоквашино;930;Молоко нормализованное;12;;
7;Молоко Parmalat Natura Premium ультрапастеризованное 0.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-pit-ulpast-0-5-1l--313412;313412.0;http://www.perekrestok.ru/product/313412/preview-html;81,9;;;;;;Parmalat;1000;Нормализованное молоко;210;;
8;Молоко Домик в деревне Отборное пастеризованное 3.5-4.5% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-der-otb-3-5-4-5-930ml--310789;310789.0;http://www.perekrestok.ru/product/310789/preview-html;85,9;;;;;;Домик в деревне;930;Молоко цельное;15;;
9;Молоко Село Зеленое ультрапастеризованное 2.5% 950мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sel-zel-moloko-ulpast-2-5-950ml--308046;308046.0;http://www.perekrestok.ru/product/308046/preview-html;;;;;;;Село Зеленое;950;Молоко цельное, молоко обезжиренное;180;;
10;Молоко детское Агуша ультрапастеризованное 3.2% 925мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/agusha-moloko-ulpast-dd-ot-3l-3-2925ml--418619;418619.0;http://www.perekrestok.ru/product/418619/preview-html;79,9;;;;;;Агуша;925;Молоко нормализованное;180;;
11;Молоко Авида ультрапастеризованное 2.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/avida-moloko-ulpast-2-5-tet-br-1l--514514;514514.0;http://www.perekrestok.ru/product/514514/preview-html;69,9;;;;;;Авида;1000;Изготовлен из нормализованного молока;180;;
12;Молоко Домик в деревне ультрапастеризованное 2.5% 925мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-ster-2-5-950g--310778;310778.0;http://www.perekrestok.ru/product/310778/preview-html;93,9;;;;;;Домик в деревне;925;Молоко нормализованное;270;;
13;Молоко Valio Eila Zero Lactose ультрапастеризованное безлактозное 1.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/val-mol-zero-lactose-1-5-1l--427624;427624.0;http://www.perekrestok.ru/product/427624/preview-html;199;;;;;;;1000;Нормализированное молоко, витамин D;120;Valio;
14;Молоко 36 Копеек ультрапастеризованное 3.2% 970 мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/36-kop-moloko-ulpast-3-2-tp-970ml--430594;430594.0;http://www.perekrestok.ru/product/430594/preview-html;79,9;;;;;;36 Копеек;970;Молоко нормализованное по содержанию жира;180;;
15;Молоко Домик в деревне ультрапастеризованное 1.5% 924мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-ster-1-5-950g--309201;309201.0;http://www.perekrestok.ru/product/309201/preview-html;91,9;;;;;;Домик в деревне;924;Молоко нормализованное;270;;
16;Молоко Асеньевская ферма пастеризованное 2.5% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/asenev-ferma-moloko-past-2-5-pet-900ml--306844;306844.0;http://www.perekrestok.ru/product/306844/preview-html;95,9;;;;;;Асеньевская Ферма;900;Цельное молоко, обезжиренное молоко;10;;
17;Молоко детское Тема 3.2% ультрапастеризованное 500мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/tema-moloko-ulpast-detskoe-3-2-500ml--306127;306127.0;http://www.perekrestok.ru/product/306127/preview-html;49,9;;;;;;Тема;500;Нормализованное молоко;180;;
18;Молоко Valio ультрапастеризованное 1.5% 973мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/valio-moloko-uht-1-5-1kg--306331;306331.0;http://www.perekrestok.ru/product/306331/preview-html;104,9;;;;;;;973;Обезжиренное молоко, цельное молоко;120;Valio;
19;Молоко ПРОСТО ультрапастеризованное 3.2% 970мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prst-moloko-pit-ultrap-3-2-970ml--306110;306110.0;http://www.perekrestok.ru/product/306110/preview-html;48,9;;;;;;ПРОСТО;970;Молоко нормализованное;180;;
20;Молоко Можайское стерилизованное 2.5% 450мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/mojayskoe-moloko-ster-2-5-0-45l--307123;307123.0;http://www.perekrestok.ru/product/307123/preview-html;79,9;;;;;;;450;Молоко нормализованное;180;Можайское;
21;Молоко Искренне Ваш пастеризованное 1.5% 930г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/is-v-molok-past-1-5-930g--435047;435047.0;http://www.perekrestok.ru/product/435047/preview-html;49,9;;;;;;Искренне Ваш;930;Цельное молоко, обезжиренное молоко;15;;
22;Молоко Семейное дело пастеризованное 3.2% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sem-delo-moloko-past-3-2-900ml--482993;482993.0;http://www.perekrestok.ru/product/482993/preview-html;93,9;;;;;;Семейное дело;900;Молоко цельное, молоко обезжиренное;9;;
23;Молоко Сарафаново ультрапастеризованное 1.5% 970мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/saraf-mol-ulpast-det-1-5970ml--438833;438833.0;http://www.perekrestok.ru/product/438833/preview-html;69,9;;;;;;Сарафаново;970;Нормализованное молоко;270;;
24;Молоко Углече Поле пастеризованное 3.5-5.2% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ugl-pole-moloko-tsel-past-3-5-5-2-1l--465706;465706.0;http://www.perekrestok.ru/product/465706/preview-html;131,9;;;;;;Углече Поле;1000;Цельное органическое молоко;9;;
25;Молоко Веселый молочник Отборное пастеризованное 3.5-4.5% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ves-molochnik-moloko-otb-3-5-4-5-930ml--308191;308191.0;http://www.perekrestok.ru/product/308191/preview-html;79,9;;;;;;Веселый Молочник;930;Молоко цельное;15;;
26;Молоко Простоквашино пастеризованное 1.5% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-pit-past-1-5-930ml--408682;408682.0;http://www.perekrestok.ru/product/408682/preview-html;74,9;;;;;;Простоквашино;930;Молоко нормализованное;12;;
27;Молоко Правильное Молоко пастеризованное 2.5% 2л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/pr-mol-moloko-past-2-5-2l--652982;652982.0;http://www.perekrestok.ru/product/652982/preview-html;175;;;;;;Правильное Молоко;2000;Нормализованное молоко;26;;
28;Молоко ВкусВилл 2.5% 450г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkusvill-moloko-2-5-450g--720835;720835.0;http://www.perekrestok.ru/product/720835/preview-html;37;;;;;;ВкусВилл;;Молоко цельное, молоко обезжиренное;6;;450
29;Молоко Parmalat Natura Premium Low Lactose ультрапастеризованное 3.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-ulpast-nizkolakt-3-5-1l--314022;314022.0;http://www.perekrestok.ru/product/314022/preview-html;99,9;;;;;;Parmalat;1000;Нормализованное молоко;180;;
30;Молоко Углече Поле пастеризованное 2.5% 1кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ugleche-pole-moloko-past-2-5-1l--310267;310267.0;http://www.perekrestok.ru/product/310267/preview-html;135;;;;;;Углече Поле;;Изготовлено из нормализованного пастеризованного молока;10;;1000
31;Молоко Углече Поле пастеризованное 3.5-5.2% 500мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ugl-pole-mol-past-3-5-5-2-0-5l--416497;416497.0;http://www.perekrestok.ru/product/416497/preview-html;73,9;;;;;;Углече Поле;500;Цельное молоко;10;;
32;Молоко Parmalat ультрапастеризованное 1.8% 200мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-parmalat-ster-1-8-0-2l--340221;340221.0;http://www.perekrestok.ru/product/340221/preview-html;27,9;;;;;;Parmalat;200;Нормализованное молоко;180;;
33;Молоко Arla Natura ультрапастеризованное безлактозное 1.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/a-n-mol-ulpast-bl-esl-1-5-1l--379178;379178.0;http://www.perekrestok.ru/product/379178/preview-html;175;;;;;;Arla Natura;1000;Нормализованное молоко;180;;
34;Молоко ПРОСТО ультрапастеризованное 1.5% 970мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prst-moloko-pit-ulpast-1-5-970ml--306112;306112.0;http://www.perekrestok.ru/product/306112/preview-html;47,9;;;;;;ПРОСТО;970;Молоко, нормализованное по содержанию жира;180;;
35;Молоко Распак цельное сухое 150г;https://www.perekrestok.ru/catalog/makarony-krupy-spetsii/suhie-komponenty-i-smesi/raspak-moloko-tsel-suh-150g--306487;306487.0;http://www.perekrestok.ru/product/306487/preview-html;145;;;;;;;;Сухое молоко 26%;1;Распак;150
36;Молоко Сарафаново ультрапастеризованное 2.5% 970мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/saraf-mol-ulpast-det-2-5970ml--438832;438832.0;http://www.perekrestok.ru/product/438832/preview-html;73,9;;;;;;Сарафаново;970;Нормализованное молоко;270;;
37;Молоко Домик в деревне ультрапастеризованное 6% 928мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-6-950g--306296;306296.0;http://www.perekrestok.ru/product/306296/preview-html;129;;;;;;Домик в деревне;928;Молоко цельное, сливки;180;;
38;Молоко Вкуснотеево ультрапастеризованное 2.5% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/vkusnot-moloko-ulpast-2-5-pet-900g--306724;306724.0;http://www.perekrestok.ru/product/306724/preview-html;89,9;;;;;;Вкуснотеево;900;Молоко цельное, молоко обезжиренное;120;;
39;Молоко Рузское цельное пастеризованное 3.2-4% 250мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ruz-mol-moloko-3-2-4-250g--317945;317945.0;http://www.perekrestok.ru/product/317945/preview-html;47,9;;;;;;;250;Молоко цельное;9;Рузское молоко;
40;Молоко детское Агуша витаминизированное стерилизованное 2.5% 200мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/agusha-moloko-detskoe-vitamin-2-5-0-2l--306990;306990.0;http://www.perekrestok.ru/product/306990/preview-html;29,9;;;;;;Агуша;200;Молоко нормализованное, витаминно-минеральный премикс;90;;
41;Молоко Белый город ультрапастеризованное 2.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bel-gorod-moloko-pit-ulpast-2-5-1l--306704;306704.0;http://www.perekrestok.ru/product/306704/preview-html;69,9;;;;;;Белый город;1000;Нормализованное молоко;270;;
42;Молоко Parmalat Natura Premium Low Lactose ультрапастеризованное 0.05% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parm-moloko-nlakt-uht-0-05-1l--443947;443947.0;http://www.perekrestok.ru/product/443947/preview-html;90,9;;;;;;Parmalat;1000;Обезжиренное молоко;180;;
43;Молоко Parmalat Natura Premium ультрапастеризованное 1.8% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-1-8-ster-1l--306635;306635.0;http://www.perekrestok.ru/product/306635/preview-html;85,9;;;;;;Parmalat;1000;Нормализованное молоко;210;;
44;Молоко Петмол для Капучино ультрапастеризованное 3.2% 950мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/petmol-mol-ulp-3-2-tva-950ml--430755;430755.0;http://www.perekrestok.ru/product/430755/preview-html;81,9;;;;;;Петмол;950;Нормализованное молоко, концентраты сывороточных и молочного белков;120;;
45;Молоко Простоквашино ультрапастеризованное 2.5% 950мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-ster-2-5-950ml--309553;309553.0;http://www.perekrestok.ru/product/309553/preview-html;88,9;;;;;;Простоквашино;950;Нормализованное молоко;270;;
46;Молоко Село Зеленое Козье ультрапастеризованное 2.8-5.6% 487мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/selo-zel-moloko-koz-tsel-2-8-5-6-487ml--310365;310365.0;http://www.perekrestok.ru/product/310365/preview-html;135,9;;;;;;Село Зеленое;487;Молоко козье цельное;180;;
47;Молоко Из Углича пастеризованное 3.2% 1кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/iz-uglicha-moloko-pitevoe-past-3-2-1l--452304;452304.0;http://www.perekrestok.ru/product/452304/preview-html;64,9;;;;;;;;Изготовлено из нормализованного пастеризованного молока;9;АгриВолга;1000
48;Молоко козье G-balance пастеризованное 3.5-4.8% 310мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/g-bal-mol-koz-ts-p-3-5-4-8310ml--396474;396474.0;http://www.perekrestok.ru/product/396474/preview-html;126,9;;;;;;G-balance;310;Молоко козье натуральное (нормализованное, стерилизованное);90;;
49;Молоко Сарафаново ультрапастеризованное 3.2% 970мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/saraf-mol-ulpast-det-3-2970ml--438831;438831.0;http://www.perekrestok.ru/product/438831/preview-html;77,9;;;;;;Сарафаново;970;Нормализованное молоко;273;;
50;Молоко ПРОСТО ультрапастеризованное 2.5% 970мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prst-moloko-pit-ultrap-2-5-970ml--306111;306111.0;http://www.perekrestok.ru/product/306111/preview-html;46,8;;;;;;ПРОСТО;970;Молоко нормализованное по содержанию жира;180;;
51;Молоко М Лианозовское ультрапастеризованное 3.2% 925мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/m-moloko-ster-3-2-950g--306293;306293.0;http://www.perekrestok.ru/product/306293/preview-html;49,9;;;;;;М Лианозовское;925;Молоко нормализованное;270;;
52;Молоко Latter Безлактозное ультрапастеризованное 1.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/latter-mol-blakt-ulp-1000ml--524338;524338.0;http://www.perekrestok.ru/product/524338/preview-html;87,9;;;;;;Latter;1000;Молоко нормализованное по содержанию жира, ферментный препарат микробиального происхождения расщепляющий лактозу;120;;
53;Молоко Братья Чебурашкины пастеризованное 3.6-4.6% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/brat-cheb-moloko-past-pit-tsel-3-6-4-6-1l--310462;310462.0;http://www.perekrestok.ru/product/310462/preview-html;135;;;;;;;1000;Молоко цельное;8;Братья Чебурашкины;
54;Молоко детское Агуша с витаминами стерилизованное 3.2% 487мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/agusha-moloko-detskoe-3-2-500g--307007;307007.0;http://www.perekrestok.ru/product/307007/preview-html;51,9;;;;;;Агуша;487;Молоко цельное, молоко обезжиренное, витаминный премикс;180;;
55;Молоко Искренне Ваш пастеризованное 3.2% 930г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/iskr-vash-mol-pit-past-3-2-930g--435160;435160.0;http://www.perekrestok.ru/product/435160/preview-html;87,9;;;;;;Искренне Ваш;930;Цельное молоко, обезжиренное молоко;15;;
56;Молоко Простоквашино ультрапастеризованное 3.2% 950мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-ulpast-3-2-950ml--308830;308830.0;http://www.perekrestok.ru/product/308830/preview-html;95,9;;;;;;Простоквашино;950;Нормализованное молоко;248;;
57;Молоко Асеньевская ферма пастеризованное 3.4-6% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/asen-ferma-moloko-past-3-4-6-pet-900ml--306843;306843.0;http://www.perekrestok.ru/product/306843/preview-html;85,9;;;;;;Асеньевская Ферма;900;Молоко коровье цельное;10;;
58;Молоко Свитлогорье ультрапастеризованное 3.2% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/cvitlog-moloko-pit-ulpast-3-2-1000l--306865;306865.0;http://www.perekrestok.ru/product/306865/preview-html;83,9;;;;;;Свитлогорье;1000;Обезжиренное молоко, сливки;180;;
59;Молоко Маруся отборное пастеризованное 3.5-4.5% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-otbornoe-3-5-4-5-930ml--433969;433969.0;http://www.perekrestok.ru/product/433969/preview-html;67,9;;;;;;Маруся;930;Молоко цельное;7;;
60;Молоко Маркет Зеленая линия Российское пастеризованное 3.2% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/z-lin-moloko-ross-past-3-2-1l--544676;544676.0;http://www.perekrestok.ru/product/544676/preview-html;50;;;;;;Маркет Зеленая линия;1000;Молоко цельное, молоко обезжиренное;5;;
61;Молоко Афанасий Живое пастеризованное 3.2% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/afanasiy-moloko-pit-past-3-2-0-9l--310336;310336.0;http://www.perekrestok.ru/product/310336/preview-html;75,9;;;;;;;900;Молоко обезжиренное, молоко цельное;10;Афанасий;
62;Молоко Экомилк пастеризованное 3.2% 1.5л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ekomilk-moloko-past-3-2-1500ml--435657;435657.0;http://www.perekrestok.ru/product/435657/preview-html;96,9;;;;;;Экомилк;1500;Цельное молоко, обезжиренное молоко;20;;
63;Молоко ВкусВилл 3.2-6% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkvimol-tsel-but3-5-6-0-9l--720832;720832.0;http://www.perekrestok.ru/product/720832/preview-html;59;;;;;;ВкусВилл;900;Молоко цельное;6;;
64;Молоко Братья Чебурашкины пастеризованное безлактозное 3.6-4.6% 500мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/brat-cheburash-moloko-blakt-3-6-4-6-0-5l--316462;316462.0;http://www.perekrestok.ru/product/316462/preview-html;94,9;;;;;;;500;молоко цельное, с использованием ферментного препарата Биолактаза;8;Братья Чебурашкины;
65;Молоко Искренне Ваш пастеризованное 3.4-6% 930г;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/is-v-molok-past-3-4-6-930g--435046;435046.0;http://www.perekrestok.ru/product/435046/preview-html;79,9;;;;;;Искренне Ваш;930;Цельное молоко;15;;
66;Молоко Рузское цельное пастеризованное 3.2-4% 1кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ruz-mol-moloko-ruzskoe-tsel-3-2-4-1000g--307139;307139.0;http://www.perekrestok.ru/product/307139/preview-html;145;;;;;;;;Молоко цельное;10;Рузское молоко;1000
67;Молоко Домик в деревне ультрапастеризованное 3.5% 200мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-3-5-tp-200g--306294;306294.0;http://www.perekrestok.ru/product/306294/preview-html;31,9;;;;;;Домик в деревне;200;Молоко цельное, сливки;180;;
68;Молоко Правильное Молоко пастеризованное 3.2-4% 2л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prav-mol-moloko-past-3-2-4-pet-2l--310201;310201.0;http://www.perekrestok.ru/product/310201/preview-html;161,9;;;;;;Правильное Молоко;2000;Цельное молоко;25;;
69;Молоко фермерское коровье от Михаила Понарского пастеризованное 3.2-4% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-tsel-pit-past-3-2-4-1kg--468066;468066.0;http://www.perekrestok.ru/product/468066/preview-html;87,90  /кг;;;;;;;1000;Молоко коровье пастеризованное;6;ИП Понарский М.Б.;
70;Молоко Правильное Молоко пастеризованное 3.2-4% 900мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prav-mol-moloko-past-3-2-4-pet-0-9l--310202;310202.0;http://www.perekrestok.ru/product/310202/preview-html;109,9;;;;;;Правильное Молоко;900;Цельное молоко;25;;
71;Молоко Село Зеленое ультрапастеризованное 1.5% 950мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sel-zel-moloko-ulpast-1-5-950ml--317947;317947.0;http://www.perekrestok.ru/product/317947/preview-html;54,9;;;;;;Село Зеленое;950;Молоко обезжиренное, молоко цельное;180;;
72;Молоко Parmalat Natura Premium Dietalat ультрапастеризованное 0.5% 1л;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-diet-pit-ulpast-vit0-51l--313671;313671.0;http://www.perekrestok.ru/product/313671/preview-html;84,9;;;;;;Parmalat;1000;Нормализованное молоко, витаминный комплекс (А, Д3, Е);120;;
73;Молоко Сарафаново Отборное пастеризованное 3.4-4% 930мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sarafan-moloko-otb-past-det-3-4-4-930ml--330541;330541.0;http://www.perekrestok.ru/product/330541/preview-html;68,9;;;;;;Сарафаново;930;Цельное молоко;21;;
74;Молоко Valio ультрапастеризованное 0.05% 971мл;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/val-mol-pit-0-1kg--501741;501741.0;http://www.perekrestok.ru/product/501741/preview-html;94,9;;;;;;;971;Обезжиренное молоко;120;Valio;
