Description;Price;Full_Url;Item_Id;Json_Url
Молоко Parmalat Natura Premium ультрапастеризованное 3.5% 1л;84,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-pit-ulster-3-5-1l--306634;306634;http://www.perekrestok.ru/product/306634/preview-html
Молоко Домик в деревне ультрапастеризованное 3.2% 925мл;93,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-ster-3-2-950g--309202;309202;http://www.perekrestok.ru/product/309202/preview-html
Молоко Parmalat Natura Premium Low Lactose ультрапастеризованное 1.8% 1л;104,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-ulpast-nizkolakt-1-8-1l--306655;306655;http://www.perekrestok.ru/product/306655/preview-html
Молоко Село Зеленое ультрапастеризованное 3.2% 950мл;79,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sel-zel-moloko-ulpast-3-2-950ml--308047;308047;http://www.perekrestok.ru/product/308047/preview-html
Молоко Простоквашино Отборное пастеризованное 3.4-4.5% 930мл;54,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-otb-past-3-4-4-5-930ml--308820;308820;http://www.perekrestok.ru/product/308820/preview-html
Молоко Белый город ультрапастеризованное 3.2% 1л;72,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bel-gorod-moloko-ulpast-3-2-1l--305572;305572;http://www.perekrestok.ru/product/305572/preview-html
Молоко Простоквашино пастеризованное 2.5% 930мл;77,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-past-2-5-930ml--308821;308821;http://www.perekrestok.ru/product/308821/preview-html
Молоко Parmalat Natura Premium ультрапастеризованное 0.5% 1л;81,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-pit-ulpast-0-5-1l--313412;313412;http://www.perekrestok.ru/product/313412/preview-html
Молоко Домик в деревне Отборное пастеризованное 3.5-4.5% 930мл;85,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-der-otb-3-5-4-5-930ml--310789;310789;http://www.perekrestok.ru/product/310789/preview-html
Молоко Село Зеленое ультрапастеризованное 2.5% 950мл;;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sel-zel-moloko-ulpast-2-5-950ml--308046;308046;http://www.perekrestok.ru/product/308046/preview-html
Молоко детское Агуша ультрапастеризованное 3.2% 925мл;79,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/agusha-moloko-ulpast-dd-ot-3l-3-2925ml--418619;418619;http://www.perekrestok.ru/product/418619/preview-html
Молоко Авида ультрапастеризованное 2.5% 1л;69,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/avida-moloko-ulpast-2-5-tet-br-1l--514514;514514;http://www.perekrestok.ru/product/514514/preview-html
Молоко Домик в деревне ультрапастеризованное 2.5% 925мл;93,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-ster-2-5-950g--310778;310778;http://www.perekrestok.ru/product/310778/preview-html
Молоко Valio Eila Zero Lactose ультрапастеризованное безлактозное 1.5% 1л;199;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/val-mol-zero-lactose-1-5-1l--427624;427624;http://www.perekrestok.ru/product/427624/preview-html
Молоко 36 Копеек ультрапастеризованное 3.2% 970 мл;79,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/36-kop-moloko-ulpast-3-2-tp-970ml--430594;430594;http://www.perekrestok.ru/product/430594/preview-html
Молоко Домик в деревне ультрапастеризованное 1.5% 924мл;91,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-ster-1-5-950g--309201;309201;http://www.perekrestok.ru/product/309201/preview-html
Молоко Асеньевская ферма пастеризованное 2.5% 900мл;95,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/asenev-ferma-moloko-past-2-5-pet-900ml--306844;306844;http://www.perekrestok.ru/product/306844/preview-html
Молоко детское Тема 3.2% ультрапастеризованное 500мл;49,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/tema-moloko-ulpast-detskoe-3-2-500ml--306127;306127;http://www.perekrestok.ru/product/306127/preview-html
Молоко Valio ультрапастеризованное 1.5% 973мл;104,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/valio-moloko-uht-1-5-1kg--306331;306331;http://www.perekrestok.ru/product/306331/preview-html
Молоко ПРОСТО ультрапастеризованное 3.2% 970мл;48,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prst-moloko-pit-ultrap-3-2-970ml--306110;306110;http://www.perekrestok.ru/product/306110/preview-html
Молоко Можайское стерилизованное 2.5% 450мл;79,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/mojayskoe-moloko-ster-2-5-0-45l--307123;307123;http://www.perekrestok.ru/product/307123/preview-html
Молоко Искренне Ваш пастеризованное 1.5% 930г;49,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/is-v-molok-past-1-5-930g--435047;435047;http://www.perekrestok.ru/product/435047/preview-html
Молоко Семейное дело пастеризованное 3.2% 900мл;93,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/sem-delo-moloko-past-3-2-900ml--482993;482993;http://www.perekrestok.ru/product/482993/preview-html
Молоко Сарафаново ультрапастеризованное 1.5% 970мл;69,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/saraf-mol-ulpast-det-1-5970ml--438833;438833;http://www.perekrestok.ru/product/438833/preview-html
Молоко Углече Поле пастеризованное 3.5-5.2% 1л;131,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ugl-pole-moloko-tsel-past-3-5-5-2-1l--465706;465706;http://www.perekrestok.ru/product/465706/preview-html
Молоко Веселый молочник Отборное пастеризованное 3.5-4.5% 930мл;79,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ves-molochnik-moloko-otb-3-5-4-5-930ml--308191;308191;http://www.perekrestok.ru/product/308191/preview-html
Молоко Простоквашино пастеризованное 1.5% 930мл;74,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-pit-past-1-5-930ml--408682;408682;http://www.perekrestok.ru/product/408682/preview-html
Молоко Правильное Молоко пастеризованное 2.5% 2л;175;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/pr-mol-moloko-past-2-5-2l--652982;652982;http://www.perekrestok.ru/product/652982/preview-html
Молоко ВкусВилл 2.5% 450г;37;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkusvill-moloko-2-5-450g--720835;720835;http://www.perekrestok.ru/product/720835/preview-html
Молоко Parmalat Natura Premium Low Lactose ультрапастеризованное 3.5% 1л;99,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-ulpast-nizkolakt-3-5-1l--314022;314022;http://www.perekrestok.ru/product/314022/preview-html
Молоко Углече Поле пастеризованное 2.5% 1кг;135;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ugleche-pole-moloko-past-2-5-1l--310267;310267;http://www.perekrestok.ru/product/310267/preview-html
Молоко Углече Поле пастеризованное 3.5-5.2% 500мл;73,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ugl-pole-mol-past-3-5-5-2-0-5l--416497;416497;http://www.perekrestok.ru/product/416497/preview-html
Молоко Parmalat ультрапастеризованное 1.8% 200мл;27,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-parmalat-ster-1-8-0-2l--340221;340221;http://www.perekrestok.ru/product/340221/preview-html
Молоко Arla Natura ультрапастеризованное безлактозное 1.5% 1л;175;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/a-n-mol-ulpast-bl-esl-1-5-1l--379178;379178;http://www.perekrestok.ru/product/379178/preview-html
Молоко ПРОСТО ультрапастеризованное 1.5% 970мл;47,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prst-moloko-pit-ulpast-1-5-970ml--306112;306112;http://www.perekrestok.ru/product/306112/preview-html
Молоко Распак цельное сухое 150г;145;https://www.perekrestok.ru/catalog/makarony-krupy-spetsii/suhie-komponenty-i-smesi/raspak-moloko-tsel-suh-150g--306487;306487;http://www.perekrestok.ru/product/306487/preview-html
Молоко Сарафаново ультрапастеризованное 2.5% 970мл;73,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/saraf-mol-ulpast-det-2-5970ml--438832;438832;http://www.perekrestok.ru/product/438832/preview-html
Молоко Домик в деревне ультрапастеризованное 6% 928мл;129;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-6-950g--306296;306296;http://www.perekrestok.ru/product/306296/preview-html
Молоко Вкуснотеево ультрапастеризованное 2.5% 900мл;89,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/vkusnot-moloko-ulpast-2-5-pet-900g--306724;306724;http://www.perekrestok.ru/product/306724/preview-html
Молоко Рузское цельное пастеризованное 3.2-4% 250мл;47,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ruz-mol-moloko-3-2-4-250g--317945;317945;http://www.perekrestok.ru/product/317945/preview-html
Молоко детское Агуша витаминизированное стерилизованное 2.5% 200мл;29,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/agusha-moloko-detskoe-vitamin-2-5-0-2l--306990;306990;http://www.perekrestok.ru/product/306990/preview-html
Молоко Белый город ультрапастеризованное 2.5% 1л;69,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bel-gorod-moloko-pit-ulpast-2-5-1l--306704;306704;http://www.perekrestok.ru/product/306704/preview-html
Молоко Parmalat Natura Premium Low Lactose ультрапастеризованное 0.05% 1л;90,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parm-moloko-nlakt-uht-0-05-1l--443947;443947;http://www.perekrestok.ru/product/443947/preview-html
Молоко Parmalat Natura Premium ультрапастеризованное 1.8% 1л;85,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/parmal-moloko-1-8-ster-1l--306635;306635;http://www.perekrestok.ru/product/306635/preview-html
Молоко Петмол для Капучино ультрапастеризованное 3.2% 950мл;81,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/petmol-mol-ulp-3-2-tva-950ml--430755;430755;http://www.perekrestok.ru/product/430755/preview-html
Молоко Простоквашино ультрапастеризованное 2.5% 950мл;88,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-ster-2-5-950ml--309553;309553;http://www.perekrestok.ru/product/309553/preview-html
Молоко Село Зеленое Козье ультрапастеризованное 2.8-5.6% 487мл;135,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/selo-zel-moloko-koz-tsel-2-8-5-6-487ml--310365;310365;http://www.perekrestok.ru/product/310365/preview-html
Молоко Из Углича пастеризованное 3.2% 1кг;64,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/iz-uglicha-moloko-pitevoe-past-3-2-1l--452304;452304;http://www.perekrestok.ru/product/452304/preview-html
Молоко козье G-balance пастеризованное 3.5-4.8% 310мл;126,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/g-bal-mol-koz-ts-p-3-5-4-8310ml--396474;396474;http://www.perekrestok.ru/product/396474/preview-html
Молоко Сарафаново ультрапастеризованное 3.2% 970мл;77,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/saraf-mol-ulpast-det-3-2970ml--438831;438831;http://www.perekrestok.ru/product/438831/preview-html
Молоко ПРОСТО ультрапастеризованное 2.5% 970мл;46,8;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prst-moloko-pit-ultrap-2-5-970ml--306111;306111;http://www.perekrestok.ru/product/306111/preview-html
Молоко М Лианозовское ультрапастеризованное 3.2% 925мл;49,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/m-moloko-ster-3-2-950g--306293;306293;http://www.perekrestok.ru/product/306293/preview-html
Молоко Latter Безлактозное ультрапастеризованное 1.5% 1л;87,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/latter-mol-blakt-ulp-1000ml--524338;524338;http://www.perekrestok.ru/product/524338/preview-html
Молоко Братья Чебурашкины пастеризованное 3.6-4.6% 1л;135;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/brat-cheb-moloko-past-pit-tsel-3-6-4-6-1l--310462;310462;http://www.perekrestok.ru/product/310462/preview-html
Молоко детское Агуша с витаминами стерилизованное 3.2% 487мл;51,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/agusha-moloko-detskoe-3-2-500g--307007;307007;http://www.perekrestok.ru/product/307007/preview-html
Молоко Искренне Ваш пастеризованное 3.2% 930г;87,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/iskr-vash-mol-pit-past-3-2-930g--435160;435160;http://www.perekrestok.ru/product/435160/preview-html
Молоко Простоквашино ультрапастеризованное 3.2% 950мл;95,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prostokv-moloko-ulpast-3-2-950ml--308830;308830;http://www.perekrestok.ru/product/308830/preview-html
Молоко Асеньевская ферма пастеризованное 3.4-6% 900мл;85,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/asen-ferma-moloko-past-3-4-6-pet-900ml--306843;306843;http://www.perekrestok.ru/product/306843/preview-html
Молоко Свитлогорье ультрапастеризованное 3.2% 1л;83,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/cvitlog-moloko-pit-ulpast-3-2-1000l--306865;306865;http://www.perekrestok.ru/product/306865/preview-html
Молоко Маруся отборное пастеризованное 3.5-4.5% 930мл;67,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-otbornoe-3-5-4-5-930ml--433969;433969;http://www.perekrestok.ru/product/433969/preview-html
Молоко Маркет Зеленая линия Российское пастеризованное 3.2% 1л;50;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/z-lin-moloko-ross-past-3-2-1l--544676;544676;http://www.perekrestok.ru/product/544676/preview-html
Молоко Афанасий Живое пастеризованное 3.2% 900мл;75,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/afanasiy-moloko-pit-past-3-2-0-9l--310336;310336;http://www.perekrestok.ru/product/310336/preview-html
Молоко Экомилк пастеризованное 3.2% 1.5л;96,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ekomilk-moloko-past-3-2-1500ml--435657;435657;http://www.perekrestok.ru/product/435657/preview-html
Молоко ВкусВилл 3.2-6% 900мл;59;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/bzmj-vkvimol-tsel-but3-5-6-0-9l--720832;720832;http://www.perekrestok.ru/product/720832/preview-html
Молоко Братья Чебурашкины пастеризованное безлактозное 3.6-4.6% 500мл;94,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/brat-cheburash-moloko-blakt-3-6-4-6-0-5l--316462;316462;http://www.perekrestok.ru/product/316462/preview-html
Молоко Искренне Ваш пастеризованное 3.4-6% 930г;79,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/is-v-molok-past-3-4-6-930g--435046;435046;http://www.perekrestok.ru/product/435046/preview-html
Молоко Рузское цельное пастеризованное 3.2-4% 1кг;145;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/ruz-mol-moloko-ruzskoe-tsel-3-2-4-1000g--307139;307139;http://www.perekrestok.ru/product/307139/preview-html
Молоко Домик в деревне ультрапастеризованное 3.5% 200мл;31,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/dom-v-der-moloko-3-5-tp-200g--306294;306294;http://www.perekrestok.ru/product/306294/preview-html
Молоко Правильное Молоко пастеризованное 3.2-4% 2л;161,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prav-mol-moloko-past-3-2-4-pet-2l--310201;310201;http://www.perekrestok.ru/product/310201/preview-html
Молоко фермерское коровье от Михаила Понарского пастеризованное 3.2-4% 1л;87,90  /кг;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/moloko-tsel-pit-past-3-2-4-1kg--468066;468066;http://www.perekrestok.ru/product/468066/preview-html
Молоко Правильное Молоко пастеризованное 3.2-4% 900мл;109,9;https://www.perekrestok.ru/catalog/moloko-syr-yaytsa/moloko/prav-mol-moloko-past-3-2-4-pet-0-9l--310202;310202;http://www.perekrestok.ru/product/310202/preview-html
